Temporada,Rank,Equip,Nacionalitat,Jugador,Gols,PJ,Gpp,Asist,App,Pen,Pen %,FD,FD %,Az,Azpp,Rj,Rjpp
20/21,1,REU,ES,"RODRIGUEZ DALMAU, ALEX",37,23,1.61,5,0.22,7/11,63.64,0/2,0.00,5,0.22,,
20/21,2,LIC,ES,"ADROHER MAS, JORDI",33,23,1.43,5,0.22,3/5,60.00,17/41,41.46,3,0.13,,
20/21,3,BAR,PT,"RODRIGUES BRAZÃO, JOÃO MIGUEL ",33,24,1.38,6,0.25,5/8,62.50,1/4,25.00,,,,
20/21,4,BAR,ES,"ALVAREZ VERA, PABLO  FEDERICO",31,23,1.35,14,0.61,1/1,100.00,1/9,11.11,3,0.13,,
20/21,5,BAR,PT,"NUNES PEREIRA, HELDER",30,25,1.20,17,0.68,5/8,62.50,2/4,50.00,2,0.08,,
20/21,6,CAL,ES,"MITJANS COLS, ELOI",29,25,1.16,2,0.08,6/11,54.55,5/15,33.33,,,,
20/21,7,NOI,ES,"COSTA FERRE, XAVIER",29,22,1.32,1,0.05,10/17,58.82,,,6,0.27,,
20/21,8,GIR,ES,"GELMÀ PAZ, DAVID",27,24,1.13,4,0.17,6/13,46.15,0/5,0.00,6,0.25,,
20/21,9,LLO,ES,"GONZALEZ ROVIROSA, MARC",27,23,1.17,3,0.13,,,11/21,52.38,4,0.17,,
20/21,10,REU,ES,"MARIN MARTIN, RAUL",26,19,1.37,5,0.26,4/8,50.00,6/16,37.50,7,0.37,,
20/21,11,REU,ES,"JULIÀ SOLER, MARC",24,24,1.00,4,0.17,,,8/23,34.78,2,0.08,,
20/21,12,VOL,ES,"TEIXIDO ABAT, GERARD",24,24,1.00,11,0.46,2/6,33.33,9/21,42.86,5,0.21,,
20/21,13,TAR,ES,"RODRIGUEZ DALMAU, DANIEL",21,24,0.88,4,0.17,2/4,50.00,13/24,54.17,2,0.08,,
20/21,14,BAR,ES,"BARGALLÓ  POCH , PAU",21,23,0.91,21,0.91,0/1,0.00,7/16,43.75,4,0.17,,
20/21,15,PAL,ES,"CANET VILA, SERGI",20,23,0.87,1,0.04,1/3,33.33,,,3,0.13,,
20/21,16,VOL,ES,"CANAL TRUY, ARNAU",20,25,0.80,4,0.16,4/6,66.67,0/1,0.00,3,0.12,,
20/21,17,LLE,ES,"VIVES CLOS, ORIOL",19,24,0.79,2,0.08,4/6,66.67,1/6,16.67,2,0.08,,
20/21,18,CAD,ES,"ROSA CAPELLA, FERRAN ",18,19,0.95,4,0.21,0/1,0.00,7/17,41.18,4,0.21,,
20/21,19,LLO,DE,"THIEL, MAX",17,23,0.74,3,0.13,2/6,33.33,0/6,0.00,3,0.13,,
20/21,20,PAL,ES,"FIGA RENJIFO, MARC",17,21,0.81,1,0.05,5/11,45.45,1/4,25.00,,,,
20/21,21,LLE,ES,"TOMÀS TOHÀ, ANDREU",17,24,0.71,2,0.08,5/11,45.45,4/10,40.00,3,0.13,,
20/21,22,TAR,ES,"CRESPO OLIVA, VICTOR",17,23,0.74,,,4/6,66.67,1/10,10.00,5,0.22,,
20/21,23,CAD,ES,"MIRAS VALERO, SERGIO",16,23,0.70,2,0.09,6/12,50.00,0/1,0.00,3,0.13,,
20/21,24,CAD,ES,"GIMENEZ ADMIRABLE, ALVARO BORJA",16,22,0.73,6,0.27,,,0/3,0.00,5,0.23,,
20/21,25,NOI,ES,"MANRUBIA PERO, POL",16,23,0.70,10,0.43,,,7/17,41.18,2,0.09,,
20/21,26,CAD,ES,"RODRÍGUEZ MARIMÓN, CRISTIAN",15,23,0.65,2,0.09,0/1,0.00,2/5,40.00,4,0.17,,
20/21,27,LLE,ES,"SELVA CRISTIA, JOSEP MARIA",15,23,0.65,4,0.17,1/2,50.00,4/13,30.77,4,0.17,,
20/21,28,LIC,ES,"TORRES PASTORIZA, DAVID",14,21,0.67,3,0.14,1/6,16.67,0/2,0.00,2,0.10,,
20/21,29,GIR,ES,"PUJOL QUINTANA, GERARD",14,20,0.70,,,,,3/14,21.43,4,0.20,,
20/21,30,VEN,ES,"ESCALA LOPEZ, JOAN SALVADOR",14,21,0.67,3,0.14,5/7,71.43,1/3,33.33,4,0.19,,
20/21,31,LIC,AR,"PLATERO FIGUEROA, FRANCO EMANUEL",14,23,0.61,6,0.26,0/2,0.00,1/1,100.00,1,0.04,,
20/21,32,BAR,ES,"PASCUAL, MATÍAS JOSÉ",14,23,0.61,6,0.26,,,,,3,0.13,,
20/21,33,IGU,ES,"YESTE BIOSCA , BERNAT",13,21,0.62,,,,,1/3,33.33,,,,
20/21,34,VOL,ES,"VARGAS NAVAS, ERIC",13,24,0.54,6,0.25,,,0/2,0.00,3,0.13,,
20/21,35,LLO,ES,"FARRE CASTELLS, ADRIA",12,23,0.52,4,0.17,,,0/1,0.00,4,0.17,,
20/21,36,LIC,FR,"DI BENEDETTO, ROBERTO",12,20,0.60,8,0.40,,,,,3,0.15,,
20/21,37,NOI,ES,"PUJADAS COLOMER, ROC",12,23,0.52,2,0.09,,,6/19,31.58,3,0.13,,
20/21,38,CAL,ES,"TORNÉ PIÑOL, SERGI",12,24,0.50,7,0.29,,,0/5,0.00,5,0.21,,
20/21,39,IGU,ES,"BARS CATALÀ, ROGER",12,21,0.57,,,5/8,62.50,1/7,14.29,1,0.05,,
20/21,40,CAD,ES,"RICART BENAVENT, LLUIS",11,23,0.48,6,0.26,0/1,0.00,,,1,0.04,,
